ENSG	ENST	CDS_LENGTH	ID	chr
ENSG00000004534	ENST00000266022	3372	RBM6	3
ENSG00000004660	ENST00000381771	1632	CAMKK1	17
ENSG00000004700	ENST00000421138	1950	RECQL	12
ENSG00000004766	ENST00000305866	2895	CCDC132	7
ENSG00000004776	ENST00000004982	483	HSPB6	19
ENSG00000004777	ENST00000007510	3864	ARHGAP33	19
ENSG00000004779	ENST00000007516	471	NDUFAB1	16
ENSG00000004799	ENST00000005178	1236	PDK4	7
ENSG00000004809	ENST00000368919	1734	SLC22A16	6
ENSG00000004838	ENST00000231749	1323	ZMYND10	3
ENSG00000004846	ENST00000404938	3774	ABCB5	7
ENSG00000004848	ENST00000379044	1689	ARX	X
ENSG00000004864	ENST00000416240	2031	SLC25A13	7
ENSG00000004866	ENST00000265437	1758	ST7	7
ENSG00000004897	ENST00000531206	2493	CDC27	17
ENSG00000004939	ENST00000262418	2736	SLC4A1	17
ENSG00000004948	ENST00000359558	1527	CALCR	7
ENSG00000004961	ENST00000321143	807	HCCS	X
ENSG00000004975	ENST00000005340	2211	DVL2	17
ENSG00000005001	ENST00000161006	954	PRSS22	16
ENSG00000005007	ENST00000262803	3357	UPF1	19
ENSG00000005020	ENST00000345317	1080	SKAP2	7
ENSG00000005022	ENST00000317881	897	SLC25A5	X
ENSG00000005059	ENST00000394650	1011	CCDC109B	4
ENSG00000005073	ENST00000006015	942	HOXA11	7
ENSG00000005075	ENST00000393794	384	POLR2J	7
ENSG00000005100	ENST00000225296	2124	DHX33	17
ENSG00000005102	ENST00000318579	765	MEOX1	17
ENSG00000005108	ENST00000423059	4974	THSD7A	7
ENSG00000005156	ENST00000378526	3030	LIG3	17
ENSG00000005175	ENST00000005386	1998	RPAP3	12
ENSG00000005187	ENST00000289416	1761	ACSM3	16
ENSG00000005189	ENST00000261377	2325	AC004381.6	16
ENSG00000005194	ENST00000394391	939	CIAPIN1	16
ENSG00000005238	ENST00000322813	1617	FAM214B	9
ENSG00000005243	ENST00000006101	627	COPZ2	17
ENSG00000005249	ENST00000265717	1257	PRKAR2B	7
ENSG00000005302	ENST00000312196	1566	MSL3	X
ENSG00000005339	ENST00000262367	7329	CREBBP	16
ENSG00000005379	ENST00000355701	5724	BZRAP1	17
ENSG00000005381	ENST00000340482	2334	MPO	17
ENSG00000005421	ENST00000222381	1068	PON1	7
ENSG00000005436	ENST00000321027	2346	GCFC2	2
ENSG00000005448	ENST00000348227	1005	WDR54	2
ENSG00000005469	ENST00000419147	1923	CROT	7
ENSG00000005471	ENST00000265723	3861	ABCB4	7
ENSG00000005483	ENST00000257745	5577	MLL5	7
ENSG00000005486	ENST00000006777	1095	RHBDD2	7
ENSG00000005513	ENST00000293894	1341	SOX8	16
ENSG00000005700	ENST00000306270	4062	IBTK	6
ENSG00000005801	ENST00000399602	1890	ZNF195	11
ENSG00000005810	ENST00000407578	14037	MYCBP2	13
ENSG00000005812	ENST00000355619	1287	FBXL3	13
ENSG00000005844	ENST00000356798	3513	ITGAL	16
ENSG00000005882	ENST00000503176	1224	PDK2	17
ENSG00000005884	ENST00000007722	3201	ITGA3	17
ENSG00000005889	ENST00000540034	2535	ZFX	X
ENSG00000005893	ENST00000434600	1236	LAMP2	X
ENSG00000005955	ENST00000304718	2094	GGNBP2	17
ENSG00000005961	ENST00000262407	3120	ITGA2B	17
ENSG00000005981	ENST00000325885	1281	ASB4	7
ENSG00000006007	ENST00000353258	996	GDE1	16
ENSG00000006015	ENST00000358607	606	C19orf60	19
ENSG00000006016	ENST00000392386	1269	CRLF1	19
ENSG00000006025	ENST00000007414	2529	OSBPL7	17
ENSG00000006042	ENST00000394642	681	TMEM98	17
ENSG00000006047	ENST00000007699	1095	YBX2	17
ENSG00000006059	ENST00000007735	1215	KRT33A	17
ENSG00000006071	ENST00000302539	4749	ABCC8	11
ENSG00000006074	ENST00000004921	270	CCL18	17
ENSG00000006075	ENST00000225245	279	CCL3	17
ENSG00000006114	ENST00000339208	3945	SYNRG	17
ENSG00000006116	ENST00000005284	948	CACNG3	16
ENSG00000006118	ENST00000005286	3075	TMEM132A	11
ENSG00000006125	ENST00000312678	2856	AP2B1	17
ENSG00000006128	ENST00000319273	390	TAC1	7
ENSG00000006194	ENST00000219069	2052	ZNF263	16
ENSG00000006210	ENST00000563383	1212	CX3CL1	16
ENSG00000006282	ENST00000006658	2409	SPATA20	17
ENSG00000006283	ENST00000359106	7134	CACNA1G	17
ENSG00000006327	ENST00000575124	681	TNFRSF12A	16
ENSG00000006377	ENST00000518156	882	DLX6	7
ENSG00000006432	ENST00000555993	3357	MAP3K9	14
ENSG00000006451	ENST00000005257	621	RALA	7
ENSG00000006453	ENST00000005260	1536	BAIAP2L1	7
ENSG00000006459	ENST00000397560	2826	JHDM1D	7
ENSG00000006468	ENST00000405358	1476	ETV1	7
ENSG00000006530	ENST00000355413	1269	AGK	7
ENSG00000006555	ENST00000371276	1710	TTC22	1
ENSG00000006576	ENST00000248550	2358	PHTF2	7
ENSG00000006606	ENST00000005180	285	CCL26	7
ENSG00000006607	ENST00000264042	3165	FARP2	2
ENSG00000006611	ENST00000005226	2700	USH1C	11
ENSG00000006625	ENST00000275428	567	GGCT	7
ENSG00000006634	ENST00000265728	2025	DBF4	7
ENSG00000006638	ENST00000411851	1224	TBXA2R	19
ENSG00000006652	ENST00000005558	1356	IFRD1	7
ENSG00000006659	ENST00000360675	507	LGALS14	19
ENSG00000006695	ENST00000261643	1332	COX10	17
ENSG00000006704	ENST00000455841	2931	GTF2IRD1	7
ENSG00000006712	ENST00000221265	1596	PAF1	19
ENSG00000006715	ENST00000310301	2565	VPS41	7
ENSG00000006740	ENST00000379672	2457	ARHGAP44	17
ENSG00000006744	ENST00000338034	2481	ELAC2	17
ENSG00000006747	ENST00000297029	2148	SCIN	7
ENSG00000006756	ENST00000381154	1782	ARSD	X
ENSG00000006757	ENST00000381042	762	PNPLA4	X
ENSG00000006788	ENST00000252172	5817	MYH13	17
ENSG00000006831	ENST00000357103	1161	ADIPOR2	12
ENSG00000006837	ENST00000265334	1779	CDKL3	5
ENSG00000007001	ENST00000409859	1125	UPP2	2
ENSG00000007038	ENST00000005995	945	PRSS21	16
ENSG00000007047	ENST00000262891	2259	MARK4	19
ENSG00000007062	ENST00000447510	2598	PROM1	4
ENSG00000007080	ENST00000445755	672	CCDC124	19
ENSG00000007129	ENST00000401445	882	CEACAM21	19
ENSG00000007168	ENST00000397195	1233	PAFAH1B1	17
ENSG00000007171	ENST00000313735	3462	NOS2	17
ENSG00000007174	ENST00000262442	13461	DNAH9	17
ENSG00000007202	ENST00000005905	6708	KIAA0100	17
ENSG00000007216	ENST00000444914	1926	SLC13A2	17
ENSG00000007237	ENST00000432992	1431	GAS7	17
ENSG00000007255	ENST00000006275	522	TRAPPC6A	19
ENSG00000007264	ENST00000395045	1527	MATK	19
ENSG00000007306	ENST00000006724	798	CEACAM7	19
ENSG00000007312	ENST00000392795	693	CD79B	17
ENSG00000007314	ENST00000435607	5511	SCN4A	17
ENSG00000007341	ENST00000358039	1728	ST7L	1
ENSG00000007350	ENST00000369915	1791	TKTL1	X
ENSG00000007372	ENST00000379107	1311	PAX6	11
ENSG00000007376	ENST00000007264	939	RPUSD1	16
ENSG00000007384	ENST00000262316	2568	RHBDF1	16
ENSG00000007392	ENST00000293872	1116	LUC7L	16
ENSG00000007402	ENST00000423994	3462	CACNA2D2	3
ENSG00000007516	ENST00000324385	3564	BAIAP3	16
ENSG00000007520	ENST00000007390	939	TSR3	16
ENSG00000007541	ENST00000026218	2283	PIGQ	16
ENSG00000007545	ENST00000293925	3810	CRAMP1L	16
ENSG00000007866	ENST00000338863	1308	TEAD3	6
ENSG00000007908	ENST00000333360	1833	SELE	1
ENSG00000007923	ENST00000377577	1680	DNAJC11	1
ENSG00000007933	ENST00000367755	1599	FMO3	1
ENSG00000007944	ENST00000356840	1338	MYLIP	6
ENSG00000007952	ENST00000372966	1695	NOX1	X
ENSG00000007968	ENST00000361729	1314	E2F2	1
ENSG00000008018	ENST00000262193	726	PSMB1	6
ENSG00000008056	ENST00000295987	2118	SYN1	X
ENSG00000008083	ENST00000341776	3741	JARID2	6
ENSG00000008086	ENST00000379996	3093	CDKL5	X
ENSG00000008118	ENST00000009105	1431	CAMK1G	1
ENSG00000008128	ENST00000378633	2352	CDK11A	1
ENSG00000008130	ENST00000344463	1776	NADK	1
ENSG00000008196	ENST00000263046	1410	TFAP2B	6
ENSG00000008197	ENST00000008391	1359	TFAP2D	6
ENSG00000008226	ENST00000346219	5337	DLEC1	3
ENSG00000008256	ENST00000350796	1200	CYTH3	7
ENSG00000008277	ENST00000265727	2721	ADAM22	7
ENSG00000008282	ENST00000011473	780	SYPL1	7
ENSG00000008283	ENST00000542042	957	CYB561	17
ENSG00000008294	ENST00000262013	3966	SPAG9	17
ENSG00000008300	ENST00000544264	9954	CELSR3	3
ENSG00000008311	ENST00000393376	2781	AASS	7
ENSG00000008323	ENST00000011684	2373	PLEKHG6	12
ENSG00000008324	ENST00000011691	234	SS18L2	3
ENSG00000008382	ENST00000262966	1416	MPND	19
ENSG00000008394	ENST00000010404	468	MGST1	12
ENSG00000008405	ENST00000008527	1761	CRY1	12
ENSG00000008438	ENST00000008938	591	PGLYRP1	19
ENSG00000008441	ENST00000592199	1509	NFIX	19
ENSG00000008513	ENST00000319914	1023	ST3GAL1	8
ENSG00000008516	ENST00000336577	1689	MMP25	16
ENSG00000008517	ENST00000396890	705	IL32	16
ENSG00000008710	ENST00000262304	12912	PKD1	16
ENSG00000008735	ENST00000329492	2472	MAPK8IP2	22
ENSG00000008838	ENST00000394126	3045	MED24	17
ENSG00000008853	ENST00000519685	2250	RHOBTB2	8
ENSG00000008869	ENST00000233099	6216	HEATR5B	2
ENSG00000008952	ENST00000337002	1200	SEC62	3
ENSG00000008988	ENST00000519807	429	RPS20	8
ENSG00000009307	ENST00000438362	2535	CSDE1	1
ENSG00000009335	ENST00000348165	3252	UBE3C	7
ENSG00000009413	ENST00000368802	9393	REV3L	6
ENSG00000009694	ENST00000422452	8199	ODZ1	X
ENSG00000009709	ENST00000375375	1563	PAX7	1
ENSG00000009724	ENST00000400897	2061	MASP2	1
ENSG00000009765	ENST00000229447	882	IYD	6
ENSG00000009780	ENST00000010299	1026	FAM76A	1
ENSG00000009790	ENST00000367025	1656	TRAF3IP3	1
ENSG00000009830	ENST00000261534	2253	POMT2	14
ENSG00000009844	ENST00000367630	924	VTA1	6
ENSG00000009950	ENST00000313375	2559	MLXIPL	7
ENSG00000009954	ENST00000339594	4452	BAZ1B	7
ENSG00000010017	ENST00000011619	2190	RANBP9	6
ENSG00000010030	ENST00000340181	1026	ETV7	6
ENSG00000010072	ENST00000295050	1470	SPRTN	1
ENSG00000010165	ENST00000361735	2100	METTL13	1
ENSG00000010219	ENST00000542744	1635	DYRK4	12
ENSG00000010244	ENST00000342555	1494	ZNF207	17
ENSG00000010256	ENST00000203407	1443	UQCRC1	3
ENSG00000010270	ENST00000009041	705	STARD3NL	7
ENSG00000010278	ENST00000009180	687	CD9	12
ENSG00000010282	ENST00000310417	1515	HHATL	3
ENSG00000010292	ENST00000315579	4206	NCAPD2	12
ENSG00000010295	ENST00000356896	1692	IFFO1	12
ENSG00000010310	ENST00000590918	1401	GIPR	19
ENSG00000010318	ENST00000327906	1146	PHF7	3
ENSG00000010319	ENST00000231721	2349	SEMA3G	3
ENSG00000010322	ENST00000345716	4515	NISCH	3
ENSG00000010327	ENST00000321725	7713	STAB1	3
ENSG00000010361	ENST00000529634	1354	FUZ	19
ENSG00000010379	ENST00000343164	1809	SLC6A13	12
ENSG00000010404	ENST00000340855	1653	IDS	X
ENSG00000010438	ENST00000361005	915	PRSS3	9
ENSG00000010539	ENST00000414144	1188	ZNF200	16
ENSG00000010610	ENST00000011653	1377	CD4	12
ENSG00000010626	ENST00000007969	1032	LRRC23	12
ENSG00000010671	ENST00000308731	1980	BTK	X
ENSG00000010704	ENST00000357618	1047	HFE	6
ENSG00000010803	ENST00000326197	1983	SCMH1	1
ENSG00000010810	ENST00000354650	1614	FYN	6
ENSG00000010818	ENST00000012134	7341	HIVEP2	6
ENSG00000010932	ENST00000354841	1599	FMO1	1
ENSG00000011007	ENST00000418390	2397	TCEB3	1
ENSG00000011009	ENST00000374514	696	LYPLA2	1
ENSG00000011021	ENST00000376496	2862	CLCN6	1
ENSG00000011028	ENST00000303375	4440	MRC2	17
ENSG00000011052	ENST00000555572	879	NME2	17
ENSG00000011083	ENST00000524041	2001	SLC6A7	5
ENSG00000011105	ENST00000407263	816	TSPAN9	12
ENSG00000011114	ENST00000334746	3399	BTBD7	14
ENSG00000011132	ENST00000316757	1728	APBA3	19
ENSG00000011143	ENST00000393119	1680	MKS1	17
ENSG00000011198	ENST00000458276	1050	ABHD5	3
ENSG00000011201	ENST00000262648	2043	KAL1	X
ENSG00000011243	ENST00000397410	1941	AKAP8L	19
ENSG00000011258	ENST00000415868	1887	MBTD1	17
ENSG00000011260	ENST00000225298	1671	UTP18	17
ENSG00000011275	ENST00000389902	2772	RNF216	7
ENSG00000011295	ENST00000261647	1506	TTC19	17
ENSG00000011304	ENST00000356948	1674	PTBP1	19
ENSG00000011332	ENST00000355526	1245	DPF1	19
ENSG00000011347	ENST00000539008	2061	SYT7	11
ENSG00000011376	ENST00000265537	2712	LARS2	3
ENSG00000011405	ENST00000265970	5061	PIK3C2A	11
ENSG00000011422	ENST00000340093	1008	PLAUR	19
ENSG00000011426	ENST00000265748	3375	ANLN	7
ENSG00000011451	ENST00000389282	4956	WIZ	19
ENSG00000011454	ENST00000373647	3210	RABGAP1	9
ENSG00000011465	ENST00000052754	1080	DCN	12
ENSG00000011478	ENST00000012049	1149	QPCTL	19
ENSG00000011485	ENST00000012443	1500	PPP5C	19
ENSG00000011523	ENST00000377990	2274	CEP68	2
ENSG00000011566	ENST00000263881	2685	MAP4K3	2
ENSG00000011590	ENST00000262630	1464	ZBTB32	19
ENSG00000011600	ENST00000585901	435	TYROBP	19
ENSG00000011638	ENST00000451578	558	TMEM159	16
ENSG00000011677	ENST00000370311	1479	GABRA3	X
ENSG00000012048	ENST00000471181	5655	BRCA1	17
ENSG00000012061	ENST00000013807	972	ERCC1	19
ENSG00000012124	ENST00000085219	2544	CD22	19
ENSG00000012174	ENST00000379484	1560	MBTPS2	X
ENSG00000012211	ENST00000453382	1885	PRICKLE3	X
ENSG00000012223	ENST00000231751	2133	LTF	3
ENSG00000012232	ENST00000220562	2760	EXTL3	8
ENSG00000012504	ENST00000551379	1461	NR1H4	12
ENSG00000012660	ENST00000541407	981	ELOVL5	6
ENSG00000012779	ENST00000374391	2025	ALOX5	10
ENSG00000012817	ENST00000541639	4713	KDM5D	Y
ENSG00000012822	ENST00000550804	2076	CALCOCO1	12
ENSG00000012963	ENST00000013070	1278	UBR7	14
ENSG00000012983	ENST00000013125	2541	MAP4K5	14
ENSG00000013016	ENST00000322054	1608	EHD3	2
ENSG00000013275	ENST00000157812	1257	PSMC4	19
ENSG00000013288	ENST00000285599	3030	MAN2B2	4
ENSG00000013293	ENST00000231706	2316	SLC7A14	3
ENSG00000013297	ENST00000064724	624	CLDN11	3
ENSG00000013306	ENST00000377095	1080	SLC25A39	17
ENSG00000013364	ENST00000357402	2682	MVP	16
ENSG00000013374	ENST00000568733	1920	NUB1	7
ENSG00000013375	ENST00000506587	1713	PGM3	6
ENSG00000013392	ENST00000369724	879	RWDD2A	6
ENSG00000013441	ENST00000434813	1581	CLK1	2
ENSG00000013503	ENST00000228347	3402	POLR3B	12
ENSG00000013523	ENST00000251089	2013	ANGEL1	14
ENSG00000013561	ENST00000356143	1425	RNF14	5
ENSG00000013563	ENST00000014935	909	DNASE1L1	X
ENSG00000013573	ENST00000407793	2913	DDX11	12
ENSG00000013583	ENST00000014930	570	HEBP1	12
ENSG00000013588	ENST00000014914	1074	GPRC5A	12
ENSG00000013619	ENST00000432680	2997	MAMLD1	X
ENSG00000013725	ENST00000313421	2007	CD6	11
ENSG00000013810	ENST00000313288	2517	TACC3	4
ENSG00000014123	ENST00000369278	2385	UFL1	6
ENSG00000014138	ENST00000265465	1797	POLA2	11
ENSG00000014164	ENST00000262577	2847	ZC3H3	8
ENSG00000014216	ENST00000279247	2145	CAPN1	11
ENSG00000014257	ENST00000351273	1257	ACPP	3
ENSG00000014641	ENST00000539945	1059	MDH1	2
ENSG00000014824	ENST00000264451	1707	SLC30A9	4
ENSG00000014914	ENST00000439741	2130	MTMR11	1
ENSG00000014919	ENST00000016171	1233	COX15	10
ENSG00000015133	ENST00000389857	6087	CCDC88C	14
ENSG00000015153	ENST00000442791	615	YAF2	12
ENSG00000015171	ENST00000381591	1809	ZMYND11	10
ENSG00000015285	ENST00000376701	1509	WAS	X
ENSG00000015413	ENST00000261615	1236	DPEP1	16
ENSG00000015475	ENST00000317361	726	BID	22
ENSG00000015479	ENST00000394800	2688	MATR3	5
ENSG00000015520	ENST00000289547	4080	NPC1L1	7
ENSG00000015532	ENST00000017003	2598	XYLT2	17
ENSG00000015568	ENST00000016946	5298	RGPD5	2
ENSG00000015592	ENST00000522908	777	STMN4	8
ENSG00000015676	ENST00000355451	1086	NUDCD3	7
ENSG00000016082	ENST00000230658	1050	ISL1	5
ENSG00000016391	ENST00000315251	1785	CHDH	3
ENSG00000016402	ENST00000316649	1662	IL20RA	6
ENSG00000016490	ENST00000234701	2745	CLCA1	1
ENSG00000016602	ENST00000370563	2760	CLCA4	1
ENSG00000016864	ENST00000266014	1116	GLT8D1	3
ENSG00000017260	ENST00000393221	2922	ATP2C1	3
ENSG00000017373	ENST00000578925	3654	SRCIN1	17
ENSG00000017427	ENST00000307046	588	IGF1	12
ENSG00000017483	ENST00000317669	1419	SLC38A5	X
ENSG00000017621	ENST00000412696	1005	MAGIX	X
ENSG00000017797	ENST00000019317	1968	RALBP1	18
ENSG00000018189	ENST00000381006	1863	RUFY3	4
ENSG00000018236	ENST00000347616	3057	CNTN1	12
ENSG00000018280	ENST00000233202	1653	SLC11A1	2
ENSG00000018408	ENST00000360632	1203	WWTR1	3
ENSG00000018510	ENST00000264167	1977	AGPS	2
ENSG00000018610	ENST00000371594	669	CXorf56	X
ENSG00000018625	ENST00000361216	3063	ATP1A2	1
ENSG00000018699	ENST00000317907	2532	TTC27	2
ENSG00000018869	ENST00000301310	1554	ZNF582	19
ENSG00000019102	ENST00000326621	984	VSIG2	11
ENSG00000019144	ENST00000361417	4134	PHLDB1	11
ENSG00000019169	ENST00000327097	1563	MARCO	2
ENSG00000019186	ENST00000216862	1545	CYP24A1	20
ENSG00000019485	ENST00000263765	1536	PRDM11	11
ENSG00000019505	ENST00000020926	1281	SYT13	11
ENSG00000019549	ENST00000020945	807	SNAI2	8
ENSG00000019582	ENST00000518797	949	CD74	5
ENSG00000019991	ENST00000222390	2187	HGF	7
ENSG00000019995	ENST00000359653	2127	ZRANB1	10
ENSG00000020129	ENST00000356090	2190	NCDN	1
ENSG00000020181	ENST00000412232	4017	GPR124	8
ENSG00000020256	ENST00000216923	2046	ZFP64	20
ENSG00000020426	ENST00000261245	930	MNAT1	14
ENSG00000020577	ENST00000392067	2157	SAMD4A	14
ENSG00000020633	ENST00000338888	1290	RUNX3	1
ENSG00000020922	ENST00000407439	2136	MRE11A	11
ENSG00000021300	ENST00000354190	732	PLEKHB1	11
ENSG00000021355	ENST00000380739	1140	SERPINB1	6
ENSG00000021461	ENST00000222382	1515	CYP3A43	7
ENSG00000021488	ENST00000023064	1464	SLC7A9	19
ENSG00000021574	ENST00000315285	1851	SPAST	2
ENSG00000021645	ENST00000554738	4179	NRXN3	14
ENSG00000021762	ENST00000263650	2640	OSBPL5	11
ENSG00000021776	ENST00000156471	4458	AQR	15
ENSG00000021826	ENST00000430249	4521	CPS1	2
ENSG00000021852	ENST00000371237	1776	C8B	1
ENSG00000022267	ENST00000345434	972	FHL1	X
ENSG00000022277	ENST00000357348	1011	C20orf43	20
ENSG00000022355	ENST00000023897	1371	GABRA1	5
ENSG00000022556	ENST00000448584	3189	NLRP2	19
ENSG00000022567	ENST00000517878	2427	SLC45A4	8
ENSG00000022840	ENST00000413266	2451	RNF10	12
ENSG00000022976	ENST00000442396	2784	ZNF839	14
ENSG00000023041	ENST00000369405	1242	ZDHHC6	10
ENSG00000023171	ENST00000456860	2238	GRAMD1B	11
ENSG00000023191	ENST00000354420	1386	RNH1	11
ENSG00000023228	ENST00000455934	2226	NDUFS1	2
ENSG00000023287	ENST00000025008	4785	RB1CC1	8
ENSG00000023318	ENST00000262455	1221	ERP44	9
ENSG00000023330	ENST00000310271	1923	ALAS1	3
ENSG00000023445	ENST00000263464	1815	BIRC3	11
ENSG00000023516	ENST00000025301	5706	AKAP11	13
ENSG00000023572	ENST00000367440	498	GLRX2	1
ENSG00000023608	ENST00000216294	1107	SNAPC1	14
ENSG00000023697	ENST00000428559	957	DERA	12
ENSG00000023734	ENST00000025399	1092	STRAP	12
ENSG00000023839	ENST00000370449	4638	ABCC2	10
ENSG00000023892	ENST00000316637	1896	DEF6	6
ENSG00000023902	ENST00000369124	1230	PLEKHO1	1
ENSG00000023909	ENST00000370238	825	GCLM	1
ENSG00000024048	ENST00000372899	5268	UBR2	6
ENSG00000024422	ENST00000263277	1632	EHD2	19
ENSG00000024526	ENST00000456315	2436	DEPDC1	1
ENSG00000024862	ENST00000332797	825	CCDC28A	6
ENSG00000025039	ENST00000369415	1203	RRAGD	6
ENSG00000025156	ENST00000368455	1611	HSF2	6
ENSG00000025293	ENST00000374012	3039	PHF20	20
ENSG00000025423	ENST00000322165	954	HSD17B6	12
ENSG00000025434	ENST00000481889	1401	NR1H3	11
ENSG00000025708	ENST00000395681	1464	TYMP	22
ENSG00000025770	ENST00000299821	1821	NCAPH2	22
ENSG00000025772	ENST00000372813	930	TOMM34	20
ENSG00000025796	ENST00000369002	2283	SEC63	6
ENSG00000025800	ENST00000545542	1626	KPNA6	1
ENSG00000026025	ENST00000224237	1401	VIM	10
ENSG00000026036	ENST00000482936	4203	RTEL1-TNFRSF6B	20
ENSG00000026103	ENST00000355740	1008	FAS	10
ENSG00000026297	ENST00000476238	771	RNASET2	6
ENSG00000026508	ENST00000428726	2229	CD44	11
ENSG00000026559	ENST00000371571	1542	KCNG1	20
ENSG00000026652	ENST00000320285	1137	AGPAT4	6
ENSG00000026751	ENST00000368043	1008	SLAMF7	1
ENSG00000026950	ENST00000289361	1542	BTN3A1	6
ENSG00000027001	ENST00000382172	2142	MIPEP	13
ENSG00000027075	ENST00000332981	2052	PRKCH	14
ENSG00000027644	ENST00000368195	3894	INSRR	1
ENSG00000027697	ENST00000367739	1470	IFNGR1	6
ENSG00000027847	ENST00000029410	984	B4GALT7	5
ENSG00000027869	ENST00000392306	1200	SH2D2A	1
ENSG00000028116	ENST00000340157	1527	VRK2	2
ENSG00000028137	ENST00000376259	1386	TNFRSF1B	1
ENSG00000028203	ENST00000436874	2340	VEZT	12
ENSG00000028277	ENST00000560804	1833	POU2F2	19
ENSG00000028310	ENST00000467963	1794	BRD9	5
ENSG00000028528	ENST00000261889	1674	SNX1	15
ENSG00000028839	ENST00000237264	561	TBPL1	6
ENSG00000029153	ENST00000266503	1911	ARNTL2	12
ENSG00000029363	ENST00000531224	2763	BCLAF1	6
ENSG00000029364	ENST00000336643	924	SLC39A9	14
ENSG00000029534	ENST00000396942	5718	ANK1	8
ENSG00000029559	ENST00000226284	954	IBSP	4
ENSG00000029639	ENST00000367166	1041	TFB1M	6
ENSG00000029725	ENST00000262477	2589	RABEP1	17
ENSG00000029993	ENST00000325307	603	HMGB3	X
ENSG00000030066	ENST00000378460	4311	NUP160	11
ENSG00000030110	ENST00000360661	636	BAK1	6
ENSG00000030304	ENST00000189978	2628	MUSK	9
ENSG00000030419	ENST00000342002	1599	IKZF2	2
ENSG00000030582	ENST00000053867	1782	GRN	17
ENSG00000031003	ENST00000033079	2748	FAM13B	5
ENSG00000031081	ENST00000264245	4335	ARHGAP31	3
ENSG00000031691	ENST00000335783	807	CENPQ	6
ENSG00000031698	ENST00000369923	1611	SARS	1
ENSG00000031823	ENST00000340578	1704	RANBP3	19
ENSG00000032219	ENST00000355431	3774	ARID4A	14
ENSG00000032389	ENST00000398659	1245	TSSC1	2
ENSG00000032444	ENST00000414982	4128	PNPLA6	19
ENSG00000032742	ENST00000319980	2502	IFT88	13
ENSG00000033011	ENST00000262374	1395	ALG1	16
ENSG00000033030	ENST00000336229	2124	ZCCHC8	12
ENSG00000033050	ENST00000222388	1905	ABCF2	7
ENSG00000033100	ENST00000035307	2319	CHPF2	7
ENSG00000033122	ENST00000035383	4614	LRRC7	1
ENSG00000033170	ENST00000360689	1728	FUT8	14
ENSG00000033178	ENST00000322244	3159	UBA6	4
ENSG00000033327	ENST00000361507	2031	GAB2	11
ENSG00000033627	ENST00000264649	2517	ATP6V0A1	17
ENSG00000033800	ENST00000545237	1962	PIAS1	15
ENSG00000033867	ENST00000454389	3780	SLC4A7	3
